a	阿啊呵腌嗄锕吖
quan	全权卷圈券劝泉拳串圳犬栓
que	却确缺屈猎雀阙鹊瘸芍榷阕
qun	群裙蹲遁逡麇
ran	然染燃冉髯苒蚺
rang	让嚷壤攘瓤穰禳
rao	扰绕饶荛桡娆
re	热若惹偌喏
ren	人任儿认忍仁刃韧妊壬纫饪
reng	仍耳扔戎艿穰
ri	日
rong	容荣融隔溶绒蓉熔戎茸冗榕
rou	肉柔揉蹂鞣糅
ru	如月入女需肉乳辱儒汝褥蠕
ruan	需软阮濡朊
rui	内瑞锐兑蕊睿芮蚋蕤枘
run	润闰
ruo	若弱惹溺偌芮箬
sa	萨撒蔡洒卅飒仨挲趿檫脎
sai	思赛塞腮鳃噻
san	三散伞叁霰馓糁毵
sang	丧桑嗓搡颡磉
sao	扫嫂骚哨燥梢搔臊缫埽瘙缲
se	色塞瑟寨泣涩啬穑槭铯
sen	森洒
seng	僧
sha	接杀哈沙傻啥莎刹厦煞纱砂
shai	色晒筛酾
shan	山单善闪邓扇衫陕禅擅珊杉
shang	上商伤尚赏汤晌裳熵墒觞绱
shao	少招烧召绍稍搜削哨梢邵鞘
she	社设射折涉舍摄邪蛇舌拾奢
shei	谁
shen	什身信神深参甚审震申伸沈
sheng	生声省胜升圣盛姓乘剩牲绳
shi	是时事实十使什斯世提市式
shou	手受收首守授熟售兽寿瘦狩
shu	数书术除属述树野输束熟透
shua	刷耍唆唰涮
shuai	率衰帅摔甩蟀
shuan	栓拴汕闩踹涮
shuang	双爽霜淙孀泷
shui	说水谁税睡氵
shun	顺盾巡俊瞬舜吮恂巛
shuo	说数硕烁溯嗽朔勺濯嗍槊铄
si	以已斯四司思死台似食私丝
song	送松宋讼耸颂诵嵩悚怂淞凇
sou	族艘搜嗽敕嗖叟擞飕馊薮嗾
su	苏诉速素缩俗肃宿搬塑稣溯
suan	算酸撰蒜狻
sui	随虽岁碎粹尿遂莎绥髓隋隧
sun	损孙餐笋荪隼飧榫跣狲
suo	所些索沙缩霍锁衰莎抄梭琐
ta	他她它太达哈塔踏搭拓塌榻
tai	大能太台态泰抬胎汰苔钛肽
tan	但谈弹探坦淡叹炎胆沈坛贪
tang	唐堂躺汤糖倘塘趟棠膛烫淌
tao	讨逃跳套挑陶桃涛萄掏姚淘
te	特式匿忒忑慝铽
tei	忒
teng	腾疼藤滕誊
ti	是体提题达弟替折梯狄踢肆
tian	天田典吞添填甜沾甸蚕佃舔
tiao	条调超跳挑桃姚眺稠迢窕笤
tie	占铁贴蝶帖餮怙萜
ting	听停庭厅艇挺廷亭霆奠汀婷
tong	同重通统痛洞童铜筒桶桐佟
tou	头投透偷愉逗骰钭亠
tu	图突土余徒途杜跌吐涂屠兔
tuan	团税敦揣痪湍抟疃彖
tui	推退追税弟脱腿颓忒褪蜕煺
tun	逐吴吨敦吞屯臀豚沌褪炖饨
tuo	他它税托脱拖蛇池妥陀拓魄
wa	瓦鞋娃挖哇凹蛙袜洼娲佤腽
wai	外歪夭崴
wan	完万晚免湾园玩弯碗顽挽丸
wang	方王望往网皇亡忘汪妄旺芒
wei	有为于机位立未委维围威微
wen	问文眼限免闻温稳纹吻昧蚊
weng	翁嗡瓮壅蕹蓊
wo	我握沃卧窝涡喔夭瘟倭挝蜗
wu	无物务五武母恶误屋亡午吴
xi	西系息希细喜习既席吸戏析
xia	下假呼呀夏侠吓辖峡押斜狭
xian	现见先线显限省险县探鲜献
xiang	想向相像象响项降香洋乡享
xiao	小笑消号效校呼销晓搜削萧
xie	些解接写血协谢叶耶胁邪鞋
xin	心新信款寻辛欣薪芯馨衅锌
xing	行性形研兴星型省胜幸醒刑
xiong	能雄兄胸凶宪熊匈汹芎
xiu	修休秀袖宿羞臭绣朽嗅锈煦
xu	于许需须续余姐序呼虚休徐
xuan	选宣旋券玄暖悬滋璇撰轩喧
xue	学血雪削穴薛哮靴谑炔鳕噱
xun	寻训迅讯巡询逊循洒旬勋梭
